,0
0,"Text(28.04069, -8.907845, 'go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat')"
1,"Text(-3.0974355, 22.004095, 'just forced myself to eat a slice i m really not hungry tho this sucks mark is getting worried he knows i m sick when i turn down pizza lol')"
2,"Text(10.186797, 26.542366, 'what you thinked about me first time you saw me in class')"
3,"Text(-2.0906582, -18.256266, 'i am waiting machan call me once you free')"
4,"Text(26.053993, -6.288663, 'okay name ur price as long as its legal wen can i pick them up y u ave x ams xx')"
5,"Text(7.8578186, 25.017101, 'good stuff will do')"
6,"Text(-33.08803, 29.466894, 'the wine is flowing and i m i have nevering')"
7,"Text(4.1581817, 15.365994, 'let me know when you ve got the money so carlos can make the call')"
8,"Text(-30.768723, 35.625, 'i sent you bucks')"
9,"Text(-15.44343, -12.176233, 'would really appreciate if you call me just need someone to talk to')"
10,"Text(-23.256065, -18.074823, 'ranjith cal drpd deeraj and deepak min hold')"
11,"Text(55.204563, -15.166845, 'thanx')"
12,"Text(0.98334986, 1.8236406, 'awesome i remember the last time we got somebody high for the first time with diesel v')"
13,"Text(49.512424, -15.986625, 'no calls messages missed calls')"
14,"Text(-16.09625, 27.35335, 'nah can t help you there i ve never had an iphone')"
15,"Text(36.86025, 11.035726, 'can you say what happen')"
16,"Text(-2.8539371, -40.691383, 'free ringtone text first to for a poly or text get to for a true tone help after st free tones are x pw to e nd txt stop')"
17,"Text(-29.054768, 25.457565, 'aathi where are you dear')"
18,"Text(-21.343334, 8.735698, 'k k what are detail you want to transfer acc no enough')"
19,"Text(42.74133, -6.4453406, 'tension ah what machi any problem')"
20,"Text(18.35973, -27.134592, 'check with nuerologist')"
21,"Text(19.446804, -0.5156041, 'yes how is a pretty lady like you single')"
22,"Text(-30.976131, 7.9311523, 'sure if i get an acknowledgement from you that it s astoundingly tactless and generally faggy to demand a blood oath fo')"
23,"Text(43.619152, -0.50714064, 'wait me in sch i finish ard')"
24,"Text(-16.10825, -12.84291, 'speaking of does he have any cash yet')"
25,"Text(-10.201476, 19.996967, 'yup i thk they r e teacher said that will make my face look longer darren ask me not cut too short')"
26,"Text(9.559631, 29.325909, 'wait do you know if wesleys in town i bet she does hella drugs')"
27,"Text(-8.976843, 28.872206, 'piggy r u awake i bet u re still sleeping i m going lunch now')"
28,"Text(8.800289, 19.506853, 'what is important is that you prevent dehydration by giving her enough fluids')"
29,"Text(41.819305, -13.844703, 'alright omw gotta change my order to a half th')"
30,"Text(-33.906406, 27.38347, 'dont gimme that lip caveboy')"
31,"Text(17.13517, -0.8209875, 'hi its kate it was lovely to see you tonight and ill phone you tomorrow i got to sing and a guy gave me his card xxx')"
32,"Text(-1.7369752, -42.22818, 'you have won a guaranteed award or even cashto claim ur award call free on stop getstop on php rg jx')"
33,"Text(44.396362, -3.19219, 'sorry light turned green i meant another friend wanted worth but he may not be around')"
34,"Text(41.001335, -9.055994, 'ah poor baby hope urfeeling bettersn luv probthat overdose of work hey go careful spk u sn lots of lovejen xxx')"
35,"Text(-8.933957, -17.142052, 'u have a secret admirer who is looking make contact with u find out who they r reveal who thinks ur so special call on')"
36,"Text(-30.377504, 0.77889645, 'we re all getting worried over here derek and taylor have already assumed the worst')"
37,"Text(11.326776, -30.01526, 'money you r a lucky winner claim your prize text money over million to give away ppt x normal text rate box w t jy')"
38,"Text(19.39111, -29.252659, 'filthy stories and girls waiting for your')"
39,"Text(19.469381, 22.126268, 'another month i need chocolate weed and alcohol')"
40,"Text(-17.911924, 13.659132, 'umma did she say anything')"
41,"Text(-30.130228, -0.09247552, 'its good we ll find a way')"
42,"Text(-6.451129, 6.9121633, 'hiya comin bristol st week in april les got off rudi on new yrs eve but i was snoring they were drunk u bak at college yet my work sends ink bath')"
43,"Text(27.974562, -11.142259, 'me too watching surya movie only after pm vijay movie pokkiri')"
44,"Text(4.9764085, -17.2538, 'message important information for o user today is your lucky day find out why log onto http www urawinner com there is a fantastic surprise awaiting you')"
45,"Text(-16.78283, 21.569166, 'so check your errors and if you had difficulties do correction')"
46,"Text(-13.487211, 3.094777, 'did u find a sitter for kaitlyn i was sick and slept all day yesterday')"
47,"Text(3.4403303, -11.103701, 'to day class is there are no class')"
